event_id,turbine,minutes,split,time_start,time_end,direction,label
f2297eae27764a21cd9f,1,30,train,2024-02-17 04:30:00+00:00,2024-02-17 05:30:00+00:00,1,2
6ffd106cb9e7c4b9af5e,1,30,train,2024-02-17 11:30:00+00:00,2024-02-17 13:00:00+00:00,-1,0
a3fd99c16c37ddea5eb1,1,30,train,2024-02-18 01:30:00+00:00,2024-02-18 04:00:00+00:00,-1,3
6bd2274509fe9b98b41c,1,30,train,2024-02-18 04:30:00+00:00,2024-02-18 06:00:00+00:00,-1,0
a3e209d0338c9808bdfd,1,30,train,2024-02-22 01:30:00+00:00,2024-02-22 03:00:00+00:00,1,1
029e11124e453caa07c1,1,30,train,2024-02-26 16:30:00+00:00,2024-02-26 17:30:00+00:00,1,0
61acf690e092f5535fcf,1,30,train,2024-02-26 22:00:00+00:00,2024-02-27 01:30:00+00:00,-1,1
b097b41f8f3b0f85dbbe,1,30,train,2024-02-27 02:00:00+00:00,2024-02-27 03:00:00+00:00,-1,0
d173a7396590a814d5ec,1,30,train,2024-02-27 20:30:00+00:00,2024-02-28 01:00:00+00:00,1,2
0c1017999a912957c72c,1,30,train,2024-02-28 17:30:00+00:00,2024-02-28 18:30:00+00:00,1,0
5338208ee97683d3d44d,1,30,train,2024-03-03 14:30:00+00:00,2024-03-03 16:00:00+00:00,1,0
def53d4ac6326d93d2fb,1,30,train,2024-03-03 16:30:00+00:00,2024-03-03 19:00:00+00:00,1,2
643e366b156858a28a3e,1,30,train,2024-03-03 20:00:00+00:00,2024-03-03 22:00:00+00:00,-1,0
046de127d3b215052736,1,30,train,2024-03-04 22:00:00+00:00,2024-03-05 01:30:00+00:00,1,2
a32a7e4ba38c7e86954c,1,30,train,2024-03-14 07:30:00+00:00,2024-03-14 09:00:00+00:00,1,0
9b005c0636a4db85cce8,1,30,train,2024-03-14 10:00:00+00:00,2024-03-14 11:30:00+00:00,-1,1
336c71c9c622fb9f8de5,1,30,train,2024-03-14 12:30:00+00:00,2024-03-14 14:00:00+00:00,-1,3
ad7351710bf5c11f7604,1,30,train,2024-03-15 01:30:00+00:00,2024-03-15 05:00:00+00:00,1,2
08f15c0d24b5c67c95ad,1,30,train,2024-03-15 21:30:00+00:00,2024-03-16 02:00:00+00:00,1,2
9d4d661b0c1d3fd026ef,1,30,train,2024-03-16 02:30:00+00:00,2024-03-16 06:30:00+00:00,1,1
4addba0ce4473b33f777,1,30,train,2024-03-16 11:30:00+00:00,2024-03-16 13:30:00+00:00,-1,3
bf37fa188798494a443e,1,30,train,2024-03-16 15:30:00+00:00,2024-03-16 17:00:00+00:00,-1,0
bc683b09097d35f493b2,1,30,train,2024-03-17 09:30:00+00:00,2024-03-17 11:30:00+00:00,1,1
53f022852e91756c3849,1,30,train,2024-03-22 11:30:00+00:00,2024-03-22 12:30:00+00:00,-1,0
b0fd01698f9124ce1249,1,30,train,2024-03-22 21:30:00+00:00,2024-03-22 22:30:00+00:00,-1,0
6952e0b3cce757588efe,1,30,train,2024-03-23 00:00:00+00:00,2024-03-23 01:00:00+00:00,-1,0
bd03c1534c0371834e19,1,30,train,2024-03-23 18:30:00+00:00,2024-03-23 22:00:00+00:00,1,1
bc184397a92e375fa91a,1,30,train,2024-03-23 23:00:00+00:00,2024-03-24 00:00:00+00:00,1,2
f241ad091926f26545ce,1,30,train,2024-03-25 10:30:00+00:00,2024-03-25 11:30:00+00:00,-1,0
47de9774f5cf9d2da349,1,30,train,2024-03-25 12:00:00+00:00,2024-03-25 13:00:00+00:00,1,2
df0c0ddd611e8d89848d,1,30,train,2024-03-25 22:00:00+00:00,2024-03-26 00:30:00+00:00,-1,0
4b9a5d277bea0c08775b,1,30,train,2024-03-26 02:00:00+00:00,2024-03-26 03:00:00+00:00,-1,1
5a10c475d0eff5cce1c3,1,30,train,2024-03-26 07:30:00+00:00,2024-03-26 08:30:00+00:00,-1,1
3e300e62cbd578de206d,1,30,train,2024-03-27 09:00:00+00:00,2024-03-27 11:00:00+00:00,-1,0
6b5fa0188fdf4b7ceaa4,1,30,train,2024-03-28 12:30:00+00:00,2024-03-28 14:00:00+00:00,-1,0
09fd46a263d400e8e6ac,1,30,train,2024-03-29 21:00:00+00:00,2024-03-29 22:00:00+00:00,1,1
48d52c49d85841a81c51,1,30,train,2024-03-30 03:00:00+00:00,2024-03-30 04:00:00+00:00,-1,0
260f464cae08efa7b365,1,30,train,2024-03-31 16:30:00+00:00,2024-03-31 17:30:00+00:00,1,0
22fdff520e2eb5372300,1,30,train,2024-04-01 23:30:00+00:00,2024-04-02 01:00:00+00:00,-1,3
d6af95a2ab4aa2e4304f,1,30,train,2024-04-02 01:30:00+00:00,2024-04-02 06:30:00+00:00,-1,3
0a5a9e53b8363ef79e9a,1,30,train,2024-04-04 21:00:00+00:00,2024-04-05 00:00:00+00:00,-1,0
118347311c269c3ee780,1,30,validation,2024-07-08 20:00:00+00:00,2024-07-08 22:00:00+00:00,1,1
8498139abe5c76a6e898,1,30,validation,2024-07-08 23:00:00+00:00,2024-07-09 00:00:00+00:00,1,2
3cfda2c5eecc14d7c1d6,1,30,validation,2024-07-10 10:30:00+00:00,2024-07-10 11:30:00+00:00,-1,0
94706b347810b765aa81,1,30,validation,2024-07-10 12:00:00+00:00,2024-07-10 13:00:00+00:00,1,2
794605aef83b7c095465,1,30,validation,2024-07-10 22:00:00+00:00,2024-07-11 00:30:00+00:00,-1,0
8dd90271487e8348a7eb,1,30,validation,2024-07-11 02:00:00+00:00,2024-07-11 03:00:00+00:00,-1,1
741f3dfa84e2f19b548c,1,30,validation,2024-07-11 07:30:00+00:00,2024-07-11 08:30:00+00:00,-1,1
51f5e48813ac3ff8dc81,1,30,test,2024-07-12 19:00:00+00:00,2024-07-12 20:00:00+00:00,0,1
816b801411faba5bc644,1,30,test,2024-07-13 14:30:00+00:00,2024-07-13 18:30:00+00:00,1,2
b15db6e488edcdd851fa,1,30,test,2024-07-13 19:30:00+00:00,2024-07-13 22:30:00+00:00,-1,0
f76e89ba1169947380cc,1,30,test,2024-07-13 23:00:00+00:00,2024-07-14 01:30:00+00:00,-1,1
94df567220c1989e219e,1,30,test,2024-07-14 02:00:00+00:00,2024-07-14 03:00:00+00:00,-1,0
71e49716dceb54b12991,1,30,test,2024-07-14 05:30:00+00:00,2024-07-14 08:00:00+00:00,-1,1
d3483c3991f68beaf619,1,30,test,2024-07-14 09:30:00+00:00,2024-07-14 13:30:00+00:00,1,0
5ccde3e1668f5f27ad80,1,30,test,2024-07-14 20:30:00+00:00,2024-07-14 23:30:00+00:00,-1,3
7a8dfe57182b2551909f,1,30,test,2024-07-15 00:00:00+00:00,2024-07-15 01:00:00+00:00,-1,3
809806fb27788c9e804e,1,30,test,2024-07-15 08:30:00+00:00,2024-07-15 09:30:00+00:00,-1,0
0dec206c6fbfbf465c2f,1,30,test,2024-07-15 12:30:00+00:00,2024-07-15 13:30:00+00:00,-1,1
a5e92f04fe3813333632,1,30,test,2024-07-15 19:00:00+00:00,2024-07-15 20:00:00+00:00,0,1
2ffff495befc2b92d3e4,1,30,test,2024-07-16 14:30:00+00:00,2024-07-16 18:30:00+00:00,1,2
af3e2631ba49ef8e85db,1,30,test,2024-07-16 19:30:00+00:00,2024-07-16 22:30:00+00:00,-1,0
9865e6674401dba38f7c,1,30,test,2024-07-16 23:00:00+00:00,2024-07-17 01:30:00+00:00,-1,1
25e51dcff9a886080d45,1,30,test,2024-07-17 02:00:00+00:00,2024-07-17 03:00:00+00:00,-1,0
ab5f2a106646b7fc9faa,1,30,test,2024-07-17 05:30:00+00:00,2024-07-17 08:00:00+00:00,-1,1
f75c4d7810876971f7e9,1,30,test,2024-07-17 13:30:00+00:00,2024-07-17 14:30:00+00:00,1,2
